:START_ID,:END_ID,:TYPE,rank:long,score:double,weight:long
78516,78948,CONTAINS,28,0.0076514035,23
78516,78949,CONTAINS,29,0.0076514035,22
78516,78763,CONTAINS,30,0.0076514035,21
78516,78950,CONTAINS,31,0.007618858,20
78516,78951,CONTAINS,32,0.0062460834,19
78516,78952,CONTAINS,33,0.0062195673,18
78516,78831,CONTAINS,34,0.006151048,17
78516,78953,CONTAINS,36,0.0055101686,15
78516,78954,CONTAINS,37,0.0044159344,14
78516,78955,CONTAINS,38,0.0044159344,13
78516,78619,CONTAINS,39,0.00421984,12
78516,78956,CONTAINS,44,0.0036706033,7
78516,78957,CONTAINS,45,0.0031601132,6
78516,78958,CONTAINS,46,0.0031601132,5
78516,78959,CONTAINS,48,0.0027717394,3
78516,78960,CONTAINS,49,0.0026591269,2
78516,78961,CONTAINS,50,0.0026250416,1
78517,78608,CONTAINS,1,0.117268,50
78517,78773,CONTAINS,2,0.084243216,49
78517,78795,CONTAINS,3,0.08282681,48
78517,78962,CONTAINS,4,0.06039705,47
78517,78776,CONTAINS,5,0.05430214,46
78517,78800,CONTAINS,6,0.044992294,45
78517,78782,CONTAINS,7,0.04064388,44
78517,78775,CONTAINS,8,0.03536872,43
78517,78778,CONTAINS,9,0.032599173,42
78517,78781,CONTAINS,10,0.027588502,41
78517,78963,CONTAINS,11,0.02726237,40
78517,78964,CONTAINS,12,0.022763235,39
78517,78965,CONTAINS,13,0.02053938,38
78517,78966,CONTAINS,14,0.018626036,37
78517,78646,CONTAINS,15,0.017999873,36
78517,78967,CONTAINS,17,0.014468487,34
78517,78968,CONTAINS,18,0.013969299,33
78517,78969,CONTAINS,19,0.013012644,32
78517,78970,CONTAINS,20,0.011180409,31
78517,78971,CONTAINS,21,0.0111340815,30
78517,78636,CONTAINS,22,0.009725936,29
78517,78972,CONTAINS,23,0.009725936,28
78517,78973,CONTAINS,25,0.007151446,26
78517,78805,CONTAINS,26,0.005488455,25
78517,78974,CONTAINS,27,0.005488455,24
78517,78623,CONTAINS,28,0.004981808,23
78517,78975,CONTAINS,29,0.004568327,22
78517,78976,CONTAINS,30,0.0041441256,21
78517,78977,CONTAINS,31,0.003830803,20
78517,78978,CONTAINS,32,0.003292294,19
78517,78979,CONTAINS,33,0.003292294,18
78517,78980,CONTAINS,34,0.003292294,17
78517,78758,CONTAINS,35,0.0030314876,16
78517,78867,CONTAINS,36,0.0028418477,15
78517,78981,CONTAINS,37,0.0028418477,14
78517,78879,CONTAINS,38,0.0028418477,13
78517,78982,CONTAINS,39,0.0028418477,12
78517,78983,CONTAINS,40,0.0028102244,11
78517,78984,CONTAINS,41,0.0027851285,10
78517,78985,CONTAINS,43,0.0021885538,8
78517,78986,CONTAINS,44,0.002127021,7
78517,78987,CONTAINS,46,0.0020036248,5
78517,78988,CONTAINS,47,0.0020036248,4
78517,78655,CONTAINS,48,0.0018704208,3
78517,78989,CONTAINS,49,0.0018704208,2
78517,78990,CONTAINS,50,0.0018704208,1
78518,78655,CONTAINS,1,0.09678585,50
78518,78635,CONTAINS,2,0.057753816,49
78518,78608,CONTAINS,3,0.05174337,48
78518,78991,CONTAINS,4,0.048380766,47
78518,78992,CONTAINS,5,0.04704998,46
78518,78993,CONTAINS,6,0.044489224,45
78518,78994,CONTAINS,7,0.043877184,44
78518,78995,CONTAINS,8,0.043418795,43
78518,78996,CONTAINS,9,0.040670004,42
78518,78997,CONTAINS,10,0.04020801,41
78518,78998,CONTAINS,11,0.036316376,40
78518,78999,CONTAINS,12,0.036316376,39
78518,79000,CONTAINS,13,0.036316376,38
78518,78763,CONTAINS,14,0.029661836,37
78518,78862,CONTAINS,15,0.02241111,36
78518,79001,CONTAINS,16,0.022223396,35
78518,79002,CONTAINS,17,0.021197764,34
78518,79003,CONTAINS,18,0.017643724,33
78518,79004,CONTAINS,20,0.014547958,31
78518,79005,CONTAINS,21,0.013006948,30
78518,79006,CONTAINS,23,0.009056306,28
78518,78845,CONTAINS,24,0.008897959,27
78518,79007,CONTAINS,25,0.007876167,26
78518,79008,CONTAINS,26,0.0065931804,25
78518,79009,CONTAINS,27,0.0065931804,24
78518,79010,CONTAINS,28,0.0064741736,23
78518,79011,CONTAINS,29,0.0057876245,22
78518,78949,CONTAINS,30,0.0052281665,21
78518,79012,CONTAINS,31,0.0052281665,20
78518,78847,CONTAINS,33,0.0047210976,18
78518,79013,CONTAINS,34,0.0045101414,17
78518,78647,CONTAINS,35,0.004017938,16
78518,79014,CONTAINS,36,0.003875103,15
78518,79015,CONTAINS,37,0.0038099636,14
78518,79016,CONTAINS,39,0.0033444234,12
78518,79017,CONTAINS,40,0.0029018635,11
78518,78623,CONTAINS,41,0.002838872,10
