:START_ID,:END_ID,:TYPE,common
68268,68299,CORRELATES,"[people,library]"
68268,68300,CORRELATES,"[mother,father]"
68268,68302,CORRELATES,"[presidency,mother,British,mother,president,presidency,Washington, D.C.]"
68268,68305,CORRELATES,"[Washington, D.C.,President]"
68268,68306,CORRELATES,"[Virginia,President]"
68268,68313,CORRELATES,[father]
68268,68315,CORRELATES,"[history,Washington, D.C.,father,president]"
68268,68318,CORRELATES,[people]
68268,68322,CORRELATES,"[people,France]"
68268,68324,CORRELATES,[father]
68268,68327,CORRELATES,[mother]
68268,68328,CORRELATES,"[mother,British]"
68268,68330,CORRELATES,[father]
68268,68332,CORRELATES,[father]
68268,68333,CORRELATES,"[father,people,mother,father]"
68268,68341,CORRELATES,[father]
68268,68348,CORRELATES,[father]
68268,68355,CORRELATES,[history]
68268,68356,CORRELATES,[descent]
68268,68357,CORRELATES,[Virginia]
68268,68360,CORRELATES,"[father,descent,descent,mother]"
68269,68271,CORRELATES,"[company,Japanese]"
68269,68272,CORRELATES,[Japanese]
68269,68273,CORRELATES,[Japanese]
68269,68274,CORRELATES,[Japanese]
68269,68275,CORRELATES,[Japanese]
68269,68277,CORRELATES,[Japanese]
68269,68279,CORRELATES,[Japanese]
68269,68280,CORRELATES,[life]
68269,68281,CORRELATES,"[Japanese,company]"
68269,68282,CORRELATES,"[Japanese,childhood]"
68269,68284,CORRELATES,[Japanese]
68269,68285,CORRELATES,[Japanese]
68269,68289,CORRELATES,[school]
68269,68291,CORRELATES,[Japanese]
68269,68293,CORRELATES,[company]
68269,68294,CORRELATES,[children]
68269,68295,CORRELATES,"[company,school,company,company,company,company]"
68269,68296,CORRELATES,[Japanese]
68269,68298,CORRELATES,"[education,citation]"
68269,68299,CORRELATES,[Japanese]
68269,68300,CORRELATES,[company]
68269,68304,CORRELATES,[Japanese]
68269,68305,CORRELATES,"[school,school,school]"
68269,68307,CORRELATES,"[Japanese,company,company,village,company,employees,company]"
68269,68308,CORRELATES,"[Japanese,children,company,company]"
68269,68309,CORRELATES,[Japanese]
68269,68310,CORRELATES,[Japanese]
68269,68311,CORRELATES,[Japanese]
68269,68312,CORRELATES,[Japanese]
68269,68314,CORRELATES,[Japanese]
68269,68315,CORRELATES,"[children,children,children]"
68269,68316,CORRELATES,[Japanese]
68269,68317,CORRELATES,[Japanese]
68269,68318,CORRELATES,"[Japanese,children]"
68269,68319,CORRELATES,"[Japanese,citation]"
68269,68320,CORRELATES,"[Japanese,citation,citation,citation,citation,citation,citation]"
68269,68321,CORRELATES,[Japanese]
68269,68322,CORRELATES,"[children,childhood,life,children]"
68269,68323,CORRELATES,[Japanese]
68269,68324,CORRELATES,"[Japanese,school]"
68269,68325,CORRELATES,[Japanese]
68269,68326,CORRELATES,[Japanese]
68269,68328,CORRELATES,[Japanese]
68269,68331,CORRELATES,"[Japanese,car]"
68269,68333,CORRELATES,"[Japanese,life]"
68269,68334,CORRELATES,[Japanese]
68269,68335,CORRELATES,[Japanese]
68269,68336,CORRELATES,"[Japanese,citation]"
68269,68337,CORRELATES,"[Japanese,company]"
68269,68338,CORRELATES,"[children,children]"
68269,68339,CORRELATES,[Japanese]
68269,68341,CORRELATES,[Japanese]
68269,68342,CORRELATES,[Japanese]
68269,68344,CORRELATES,"[education,education]"
68269,68346,CORRELATES,[Japanese]
68269,68351,CORRELATES,[Japanese]
68269,68352,CORRELATES,"[Japanese,company]"
68269,68353,CORRELATES,[citation]
68269,68355,CORRELATES,[company]
68269,68356,CORRELATES,"[citation,citation,citation]"
68269,68357,CORRELATES,"[employees,company,employees]"
