id,url,occupation,wikiid
Justin Welby,https://en.wikipedia.org/wiki/Justin_Welby,politician,http://www.wikidata.org/entity/Q26419
Fred Sinowatz,https://en.wikipedia.org/wiki/Fred_Sinowatz,politician,http://www.wikidata.org/entity/Q84190
Haim Amsalem,https://en.wikipedia.org/wiki/Haim_Amsalem,politician,http://www.wikidata.org/entity/Q84093
Nizar Rayan,https://en.wikipedia.org/wiki/Nizar_Rayan,politician,http://www.wikidata.org/entity/Q84088
William Haldimand,https://en.wikipedia.org/wiki/William_Haldimand,politician,http://www.wikidata.org/entity/Q84034
Zheng Kezang,https://en.wikipedia.org/wiki/Zheng_Kezang,politician,http://www.wikidata.org/entity/Q84031
Hugh Dalton,https://en.wikipedia.org/wiki/Hugh_Dalton,politician,http://www.wikidata.org/entity/Q26207
Klaus Ernst,https://en.wikipedia.org/wiki/Klaus_Ernst,politician,http://www.wikidata.org/entity/Q26206
Wilhelm Miklas,https://en.wikipedia.org/wiki/Wilhelm_Miklas,politician,http://www.wikidata.org/entity/Q84263
Karl Seitz,https://en.wikipedia.org/wiki/Karl_Seitz,politician,http://www.wikidata.org/entity/Q84254
Walter Momper,https://en.wikipedia.org/wiki/Walter_Momper,politician,http://www.wikidata.org/entity/Q61085
Norbert Vollertsen,https://en.wikipedia.org/wiki/Norbert_Vollertsen,physician,http://www.wikidata.org/entity/Q77885
Leopold Auerbach,https://en.wikipedia.org/wiki/Leopold_Auerbach,physician,http://www.wikidata.org/entity/Q77833
Paul Friedrich Wolfskehl,https://en.wikipedia.org/wiki/Paul_Wolfskehl,physician,http://www.wikidata.org/entity/Q77826
Andreas Cleyer,https://en.wikipedia.org/wiki/Andreas_Cleyer,physician,http://www.wikidata.org/entity/Q77821
Theodor Dorsten,https://en.wikipedia.org/wiki/Theodor_Dorsten,physician,http://www.wikidata.org/entity/Q102724
Robert Michaelis von Olshausen,https://en.wikipedia.org/wiki/Robert_Michaelis_von_Olshausen,physician,http://www.wikidata.org/entity/Q102601
Gustav Adolf Neuber,https://en.wikipedia.org/wiki/Gustav_Adolf_Neuber,physician,http://www.wikidata.org/entity/Q102355
Edgar Douglas Adrian,https://en.wikipedia.org/wiki/Edgar_Adrian,physician,http://www.wikidata.org/entity/Q231292
Zuzana Roithová,https://en.wikipedia.org/wiki/Zuzana_Roithov%C3%A1,physician,http://www.wikidata.org/entity/Q231231
"Nicolas Rea, 3rd Baron Rea","https://en.wikipedia.org/wiki/Nicolas_Rea,_3rd_Baron_Rea",physician,http://www.wikidata.org/entity/Q335919
Robert Winston,"https://en.wikipedia.org/wiki/Robert_Winston,_Baron_Winston",physician,http://www.wikidata.org/entity/Q335760
Ibn al-Baitar,https://en.wikipedia.org/wiki/Ibn_al-Baytar,physician,http://www.wikidata.org/entity/Q335145
Franz Ernst Brückmann,https://en.wikipedia.org/wiki/Franz_Ernst_Br%C3%BCckmann,physician,http://www.wikidata.org/entity/Q91039
Hermann Senator,https://en.wikipedia.org/wiki/Hermann_Senator,physician,http://www.wikidata.org/entity/Q91015
Heinz Baumkötter,https://en.wikipedia.org/wiki/Heinz_Baumk%C3%B6tter,physician,http://www.wikidata.org/entity/Q91009
Heinrich Vogt,https://en.wikipedia.org/wiki/Heinrich_Vogt_(neurologist),physician,http://www.wikidata.org/entity/Q91001
Franz von Bodmann,https://en.wikipedia.org/wiki/Franz_von_Bodmann,physician,http://www.wikidata.org/entity/Q90997
Emil Bessels,https://en.wikipedia.org/wiki/Emil_Bessels,physician,http://www.wikidata.org/entity/Q90898
Otto Funke,https://en.wikipedia.org/wiki/Otto_Funke,physician,http://www.wikidata.org/entity/Q90894
Johann Bernoulli,https://en.wikipedia.org/wiki/Johann_Bernoulli,physician,http://www.wikidata.org/entity/Q227897
Victor Urbantschitsch,https://en.wikipedia.org/wiki/Viktor_Urbantschitsch,physician,http://www.wikidata.org/entity/Q225315
Frank H. Netter,https://en.wikipedia.org/wiki/Frank_H._Netter,physician,http://www.wikidata.org/entity/Q224629
Yuriy Drohobych,https://en.wikipedia.org/wiki/Yuriy_Drohobych,physician,http://www.wikidata.org/entity/Q1372399
Ettore Marchiafava,https://en.wikipedia.org/wiki/Ettore_Marchiafava,physician,http://www.wikidata.org/entity/Q1371887
Roderigo López,https://en.wikipedia.org/wiki/Roderigo_Lopes,physician,http://www.wikidata.org/entity/Q1371847
Marcel Petiot,https://en.wikipedia.org/wiki/Marcel_Petiot,physician,http://www.wikidata.org/entity/Q706812
Jan Swammerdam,https://en.wikipedia.org/wiki/Jan_Swammerdam,physician,http://www.wikidata.org/entity/Q336794
Ana Pauker,https://en.wikipedia.org/wiki/Ana_Pauker,physician,http://www.wikidata.org/entity/Q230974
Edward Adelbert Doisy,https://en.wikipedia.org/wiki/Edward_Adelbert_Doisy,physician,http://www.wikidata.org/entity/Q230612
André Lwoff,https://en.wikipedia.org/wiki/Andr%C3%A9_Michel_Lwoff,physician,http://www.wikidata.org/entity/Q223309
Vladimir Bekhterev,https://en.wikipedia.org/wiki/Vladimir_Bekhterev,physician,http://www.wikidata.org/entity/Q221723
Sun Simiao,https://en.wikipedia.org/wiki/Sun_Simiao,physician,http://www.wikidata.org/entity/Q981193
Iuliu Hațieganu,https://en.wikipedia.org/wiki/Iuliu_Ha%C8%9Bieganu,physician,http://www.wikidata.org/entity/Q981070
